ba	ば
bi	び
bu	ぶ
be	べ
bo	ぼ
bn	ばん
bk	びん
bj	ぶん
bd	べん
bl	ぼん
bq	ばい
bh	ぶう
bw	べい
bp	ぼう
bya	びゃ
byu	びゅ
byo	びょ
byz	びゃん
byj	びゅん
byl	びょん
byq	びゃい
byh	びゅう
byp	びょう
ca	ちゃ
cu	ちゅ
ce	ちぇ
co	ちょ
cn	ちゃん
cj	ちゅん
cd	ちぇん
cl	ちょん
cq	ちゃい
ch	ちゅう
cw	ちぇい
cp	ちょう
da	だ
di	ぢ
du	づ
de	で
do	ど
dn	だん
dk	ぢん
dj	づん
dd	でん
dl	どん
dq	だい
dh	づう
dw	でい
dp	どう
fa	ふぁ
fi	ふぃ
fu	ふ
fe	ふぇ
fo	ふぉ
fn	ふぁん
fk	ふぃん
fj	ふん
fd	ふぇん
fl	ふぉん
fq	ふぁい
fh	ふう
fw	ふぇい
fp	ふぉう
ga	が
gi	ぎ
gu	ぐ
ge	げ
go	ご
gn	がん
gk	ぎん
gj	ぐん
gd	げん
gl	ごん
gq	がい
gh	ぐう
gw	げい
gp	ごう
gya	ぎゃ
gyu	ぎゅ
gyo	ぎょ
gyz	ぎゃん
gyj	ぎゅん
gyl	ぎょん
gyq	ぎゃい
gyh	ぎゅう
gyp	ぎょう
ha	は
hi	ひ
he	へ
ho	ほ
hz	はん
hk	ひん
hd	へん
hl	ほん
hq	はい
hw	へい
hp	ほう
hga	ひゃ
hgu	ひゅ
hgo	ひょ
hgn	ひゃん
hgj	ひゅん
hgl	ひょん
hgq	ひゃい
hgh	ひゅう
hgp	ひょう
ja	じゃ
ji	じ
ju	じゅ
je	じぇ
jo	じょ
jz	じゃん
jk	じん
jj	じゅん
jd	じぇん
jl	じょん
jq	じゃい
jh	じゅう
jw	じぇい
jp	じょう
ka	か
ki	き
ku	く
ke	け
ko	こ
kz	かん
kj	くん
kd	けん
kl	こん
kq	かい
kh	くう
kw	けい
kp	こう
kga	きゃ
kgu	きゅ
kgo	きょ
kgn	きゃん
kgj	きゅん
kgl	きょん
kgq	きゃい
kgh	きゅう
kgp	きょう
ma	ま
mi	み
mu	む
me	め
mo	も
mz	まん
mk	みん
mj	むん
md	めん
ml	もん
mq	まい
mh	むう
mw	めい
mp	もう
mga	みゃ
mgu	みゅ
mgo	みょ
mgn	みゃん
mgj	みゅん
mgl	みょん
mgq	みゃい
mgh	みゅう
mgp	みょう
na	な
ni	に
nu	ぬ
ne	ね
no	の
nz	なん
nk	にん
nj	ぬん
nd	ねん
nl	のん
nq	ない
nh	ぬう
nw	ねい
np	のう
nga	にゃ
ngu	にゅ
ngo	にょ
ngn	にゃん
ngj	にゅん
ngl	にょん
ngq	にゃい
ngh	にゅう
ngp	にょう
pa	ぱ
pi	ぴ
pu	ぷ
pe	ぺ
po	ぽ
pz	ぱん
pk	ぴん
pj	ぷん
pd	ぺん
pl	ぽん
pq	ぱい
ph	ぷう
pw	ぺい
pp	ぽう
pga	ぴゃ
pgu	ぴゅ
pgo	ぴょ
pgn	ぴゃん
pgj	ぴゅん
pgl	ぴょん
pgq	ぴゃい
pgh	ぴゅう
pgp	ぴょう
ra	ら
ri	り
ru	る
re	れ
ro	ろ
rn	らん
rk	りん
rj	るん
rd	れん
rl	ろん
rq	らい
rh	るう
rw	れい
rp	ろう
rya	りゃ
ryu	りゅ
ryo	りょ
ryz	りゃん
ryj	りゅん
ryl	りょん
ryq	りゃい
ryh	りゅう
ryp	りょう
sa	さ
si	し
su	す
se	せ
so	そ
sn	さん
sk	しん
sj	すん
sd	せん
sl	そん
sq	さい
sh	すう
sw	せい
sp	そう
ta	た
ti	ち
tu	つ
te	て
to	と
tn	たん
tk	ちん
